m_H,tanb,Br_B_Xs_H,Br_K_pi_H,Br_eta_pi_H,Br_eta_prime_pi_H,Br_pi_semilep,Br_K_semilep,Br_Upsilon_gamma_H,Br_B_Xs_HH,Br_K_pi_HH
1.0000000000e-02,7.0548023107e+02,8.3572575911e-05,2.3725498034e-11,2.2732732593e-22,2.4455793338e-25,3.7908515653e-15,7.8336841630e-14,1.8910686533e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,7.5646332755e+02,7.2687162784e-05,2.0635227983e-11,1.4956618102e-22,1.6090276865e-25,3.2970893680e-15,6.8133389876e-14,1.2441967342e-22,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.1113083079e+02,6.3219586002e-05,1.7947468753e-11,9.8404548592e-23,1.0586326540e-25,2.8676401894e-15,5.9258947890e-14,8.1859827639e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,8.6974900262e+02,5.4985170864e-05,1.5609792894e-11,6.4743615560e-23,6.9650952676e-26,2.4941271946e-15,5.1540410823e-14,5.3858295031e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,9.3260334688e+02,4.7823296755e-05,1.3576601684e-11,4.2596972090e-23,4.5825671945e-26,2.1692646399e-15,4.4827220908e-14,3.5435158670e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.0000000000e+03,4.1594264078e-05,1.1808235685e-11,2.8025961110e-23,3.0150229858e-26,1.8867157570e-15,3.8988430675e-14,2.3313966465e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.0722672220e+03,3.6176569260e-05,1.0270201143e-11,1.8439209771e-23,1.9836836667e-26,1.6409691478e-15,3.3910148693e-14,1.5339032141e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.1497569954e+03,3.1464534702e-05,8.9324971507e-12,1.2131768053e-23,1.3051313172e-26,1.4272312797e-15,2.9493318005e-14,1.0092058304e-23,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.2328467394e+03,2.7366247426e-05,7.7690304496e-12,7.9818928860e-24,8.5868921415e-27,1.2413329820e-15,2.5651783918e-14,6.6399001390e-24,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.3219411485e+03,2.3801766215e-05,6.7571064560e-12,5.2515523015e-24,5.6496013957e-27,1.0796481230e-15,2.2310613478e-14,4.3686107237e-24,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.4174741629e+03,2.0701562283e-05,5.8769865788e-12,3.4551706105e-24,3.7170603248e-27,9.3902287816e-16,1.9404633821e-14,2.8742540328e-24,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.5199110830e+03,1.8005163040e-05,5.1115031988e-12,2.2732714671e-24,2.4455774056e-27,8.1671421171e-16,1.6877160912e-14,1.8910671624e-24,4.2152840066e-05,5.4407809369e-06
1.0000000000e-02,1.6297508346e+03,1.5659972515e-05,4.4457247966e-12,1.4956607846e-24,1.6090265832e-27,7.1033637106e-16,1.4678893870e-14,1.2441958810e-24,4.2152840066e-05,5.4407809369e-06
